,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
8732,Reidemeister & Ulrichs Soave D.O.C. Classico Superiore Masi,7.79,100 ml,Flasche Glas 0.75 L,edeka,1.0390000000000001
8733,Boccantino  Primitivo des Salento,3.99,100 ml,Flasche Glas 0.75 L,edeka,0.532
8734,Veuve Clicquot Ponsardin Brut Mini,11.99,100 ml,Flasche Glas 200 ML,edeka,5.995
8735,J.P. Chenet Sekt medium dry halbtrocken,3.99,100 ml,Flasche Glas 0.75 L,edeka,0.532
8736,Georg Weis Schwarzwald Teufel,9.49,100 ml,Flasche Glas 0.5 L,edeka,1.8980000000000001
8737,Antinori Grappa Tignanello 42 % Vol.,44.99,100 ml,Flasche Glas 0.5 L,edeka,8.998000000000001
8738,Roner Williams Christ  Birnenbrand,15.99,100 ml,Flasche Glas 0.7 L,edeka,2.284
8739,Chateau de Cognac Otard V.S.O.P. Fine Champagne,22.99,100 ml,Flasche Glas 0.7 L,edeka,3.2840000000000003
8740,Maitre Marcel Echter Arrak 40 % Vol.,3.29,100 ml,Flasche Glas 100 ML,edeka,3.29
8741,Boris Jelzin Red Orange,4.19,100 ml,Flasche Glas 0.7 L,edeka,0.599
8742,Georg Hemmeter Xuxu Erdbeerlimes 15 % Vol.,10.99,100 ml,Flasche Glas 1.0 L,edeka,1.099
8743,Riemerschmid Angostura Bitter,4.19,100 ml,Flasche Glas 0.2 L,edeka,2.0949999999999998
8744,"Gräfs Mini Likör fränkische Pflaume, 25 x 20 ml",10.79,100 ml,Karton 0.5 L,edeka,2.158
8745,"Behn Küstennebel 21,8 % Vol.",7.49,100 ml,Flasche Glas 500 ML,edeka,1.498
8746,Behn Kleiner Feigling 20 % Vol.,8.99,100 ml,Flasche Glas 0.7 L,edeka,1.284
8747,Remy Angers Cointreau,15.49,100 ml,Flasche Glas 0.7 L,edeka,2.213
8748,Campari-Soda 5 x 100 ml,4.69,100 ml,Karton 0.5 L,edeka,0.9380000000000001
8749,Natura Vogelsand,0.69,100 Gramm,Beutel 3000 Gramm,edeka,0.023
8750,Vitakraft Premium Menü mit Honig,3.29,100 Gramm,Packung 1000 Gramm,edeka,0.329
8751,Vitakraft Australien Kräcker mit Honig,1.99,100 Gramm,Packung 180 Gramm,edeka,1.106
8752,Vitakraft Kräcker Sesam & Banane,0.95,Preis pro Stück,Packung 2 Stück,edeka,0.48
8753,Vitakraft Kräcker Frucht,0.95,Preis pro Stück,Packung 2 Stück,edeka,0.48
