,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
3153,Lovilio Mini Mozzarella light,0.89,100 Gramm,Packung 245 Gramm,lidl,0.36
3154,"Ein gutes Stück Heimat Frische fettarme Bayerische Bauernmilch 1,5% Fett",0.65,100 ml,Getränkekarton 1 L,lidl,0.065
3155,Bio Organic 10 frische Bio Eier Güteklasse A,2.59,Preis pro Stück,Karton 10 Stück,lidl,0.26
3156,Trattoria Alfredo FAN PIZZA Vegan,1.25,100 Gramm,Packung 390 Gramm,lidl,0.321
3157,Pedigree  Adult  Nassnahrung Classic mit 5 Sorten Geflügel,1.55,100 Gramm,Dose 800 Gramm,lidl,0.194
3158,Bertolli Extra Vergine Gentile,4.49,100 ml,Flasche Glas 500  ML,lidl,0.898
3159,"Du darfst Feine Kalbsleberwurst delikat gewürzt, 21% Fett",1.35,100 Gramm,Folie 160 Gramm,lidl,0.84
3160,"Langnese Feine Auslese Honig Landhonig, kalt geschleudert",3.99,100 Gramm,Glas 500 Gramm,lidl,0.798
3161,Coca Cola koffeinhaltig,0.99,100 ml,Pet-Flasche 1.25 L,lidl,0.079
3162,Schauma Shampoo 7 Kräuter,1.95,100 ml,Flasche Kunststoff 400 ML,lidl,0.488
3163,Melitta Cafe Auslese Pads,1.79,100 Gramm,"Packung 112 Gramm, 16 Kaffeepads",lidl,0.0
3164,Lorenz Snack-Hits,2.29,100 Gramm,Packung 320 Gramm,lidl,0.72
3165,Bertolli Extra Vergine Robusto das Kräftige,4.49,100 ml,Flasche Glas 500 ML,lidl,0.898
3166,Lorenz Saltletts Sticks Sesam,1.45,100 Gramm,Packung 175 Gramm,lidl,0.83
3167,Rotkäppchen Sekt Rose trocken,3.99,100 ml,Flasche Glas 0.75 L,lidl,0.532
3168,Langnese Feine Auslese Honig Sommerblüte,3.99,100 Gramm,Glas 500 Gramm,lidl,0.798
3169,Melitta Bella Crema Cafe Espresso,7.99,100 Gramm,"Packung 1100 Gramm, 10% mehr Inhalt",lidl,0.726
3170,Pril Spülmittel Kraftgel,1.35,100 ml,Flasche 500ml,lidl,0.27
3171,Pril Spülmittel Lemon,1.75,100 ml,Flasche Kunststoff 600 ML,lidl,0.292
3172,Felix Knuspermenü mit Fleisch,2.45,100 Gramm,Packung 1000 Gramm,lidl,0.24500000000000002
3173,Felix Knuspermenü mit Geflügel,2.45,100 Gramm,Packung 1000 Gramm,lidl,0.24500000000000002
3174,Kupferberg Brut,3.89,100 ml,Flasche Glas 0.75 L,lidl,0.519
3175,"President Snacking französische Käserolle mild cremig,  55% Fett",2.39,100 Gramm,Rolle 180 Gramm,lidl,1.33
3176,Sonnen Bassermann Erbsentopf,1.95,100 Gramm,Dose 800 Gramm,lidl,0.244
3177,Nestle Nesquick Extra Schokoladig Nachfüllbeutel,2.29,100 Gramm,Nachfüllbeutel 500 Gramm,lidl,0.458
3178,Cinzano Rosso,4.89,100 ml,Flasche Glas 0.75 L,lidl,0.6519999999999999
3179,Langnese Happy Mix 8 Stück,7.77,Preis pro 100 Stück,"XXL Pack, 77 Tabs",lidl,10.09
