,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1696,eurodont Medizinische Mundspülung Aktiv fresh mit Whitening Effect,1.79,100 Gramm,Packung 280 Gramm,aldi-nord,0.64
1697,delikato Salatidee Fix italienische Art,1.59,100 Gramm,Packung 100 Gramm,aldi-nord,1.59
1698,Freihofer Gourmet Kaffee Sahne Dessert mit Weinbrand,0.39,100 Gramm,Becher 250 Gramm,aldi-nord,0.16
1699,Sontner Sahne Kefir auf Roter Grützer,0.49,100 Gramm,Becher 250 Gramm,aldi-nord,0.2
1700,Sontner Sahne Kefir auf Erdbeere,0.39,100 Gramm,Becher 250 Gramm,aldi-nord,0.16
1701,Sontner Sahne Kefir auf Pfirsich Maracuja,5.99,100 Gramm,Packung 400 Gramm,aldi-nord,1.498
1702,Freihofer Gourmet Wolfsbarschfilet,2.69,100 Gramm,Packung 500 Gramm,aldi-nord,0.538
1703,Holstensegen Semmelknödel,0.45,100 ml,Dose 425 ML,aldi-nord,0.10600000000000001
1704,Aldi Nord Kebab Pfanne,2.15,100 Gramm,Beutel 1000 Gramm,aldi-nord,0.215
1705,Kings Crown / Aldi Nord Kidney Bohnen rot,1.35,100 Gramm,Netz 2 KG,aldi-nord,0.068
1706,Pfanntastico / Aldi Nord Paella,0.69,100 Gramm,Packung 75 Gramm,aldi-nord,0.92
1707,Gut Bio Speisekartoffeln festkochend,1.75,100 Gramm,Packung 129 Gramm,aldi-nord,1.36
1708,Reichsgraf Adventskalender,1.75,100 Gramm,Packung 129 Gramm,aldi-nord,1.36
1709,Moser Roth Grand Praline Orangenlikör,1.75,100 Gramm,Packung 129 Gramm,aldi-nord,1.36
1710,Milsani Knoblauch Creme,0.89,100 Gramm,Becher 250 Gramm,aldi-nord,0.36
1711,Jermi Räucher Chili,1.89,100 Gramm,Packung 250 Gramm,aldi-nord,0.76
1712,Topstar Cola,0.39,100 ml,Pet-Flasche 1.5 L,aldi-nord,0.026000000000000002
1713,"Vossko Hähnchenmedaillons Tessiner Art, 4 - 5 Stück",3.39,100 Gramm,Packung 500 Gramm,aldi-nord,0.678
1714,Gourmet Schweizer Raclettekäse in Scheiben mit Chili,0.99,100 Gramm,Dose 290 Gramm,aldi-nord,0.34
1715,Gourmet Finest Cuisine Neuseeländische Hirschsteaks,0.95,100 Gramm,Glas 380 Gramm,aldi-nord,0.25
1716,Gourmet Finest Cuicine Meerrettich,0.99,100 Gramm,Packung 200 Gramm,aldi-nord,0.495
1717,Gourmet Finest Cuicine Preiselbeeren mit Rotwein und Zimt,1.69,100 Gramm,Vakuum 200 Gramm,aldi-nord,0.85
1718,Bäckerbrötchen,0.13,Preis pro Stück, 1 Stück,aldi-nord,0.13
1719,"Moser Roth Hochfeine Pralines Edel-Bitter, 70% Kakao",1.79,100 Gramm,Packung 129 Gramm,aldi-nord,1.39
1720,Moser-Roth Hochfeine Pralines Noisette,1.79,100 Gramm,Packung 129 Gramm,aldi-nord,1.39
1721,Ponnath Wiener Würstchen fettreduziert,0.99,100 Gramm,Tafel 125 Gramm,aldi-nord,0.79
1722,T Amoro / Aldi Nord Profiteroles,4.32,100 ml,"Packung 6 L, 6 x 1,0 L",aldi-nord,0.072
1723,Moser-Roth Premium-Schokolade Edel-Bitter 85% Kakao,0.49,100 ml,Packung 200 ML,aldi-nord,0.25
1724,Sternburg Export 20-er,4.29,100 ml,Flasche Glas 0.7 L,aldi-nord,0.613
1725,Citrovin Bio Limette Frische für Mineralwasser,3.99,100 Gramm,Packung 550 Gramm,aldi-nord,0.725
1726,Aurelia Amaretto,1.59,100 Gramm,Packung 125 Gramm,aldi-nord,1.27
1727,Tillmans Pulled Chicken Barbecue,0.99,100 Gramm,Packung 250 Gramm,aldi-nord,0.4
1728,Stockmeyer Snack-Salami classic,3.49,100 Gramm,Box 800 Gramm,aldi-nord,0.44
1729,Alpenmark Allgäuer Schmelzkäsescheiben,0.69,100 Gramm,Packung 200 Gramm,aldi-nord,0.35
1730,Haribo Ostermix,0.89,100 ml,Dose 540 ML,aldi-nord,0.16499999999999998
