,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1093,Wiesenhof Geflügel Hähnchen Mortadella,6.79,100 Gramm,,kaufland,1.358
1094,Kramer Schwarzwälder Schäufele,1.99,100 Gramm,Packung 100 Gramm,kaufland,1.99
1095,Gemüse Nuggets mit Dip,5.99,100 Gramm,Packung 450 Gramm,kaufland,1.331
1096,Trumpf Edle Tropfen in Nuss Vodka Lounge,0.79,100 Gramm,Multipackung 300 Gramm,kaufland,0.263
1097,Ekro Kalbsfleisch Fondue,2.29,100 Gramm,Packung 340 Gramm,kaufland,0.674
1098,"Ehrmann Monster Backe Früchte-Quark Erdbeere, Banane, Himbeere",2.29,100 Gramm,Glas 340 Gramm,kaufland,0.67
1099,Knack & Back Ofenfrisches Zuppfbrot Knoblauch & Kräuter,1.99,100 ml,Flasche Kunststoff 400 ML,kaufland,0.49800000000000005
1100,Schani Delhi Sauce Tikka Masala,2.49,100 ml,Flasche Kunststoff 495 ML,kaufland,0.503
1101,Dreistern Feinstes Wildragout,4.49,100 Gramm,Dose 400 Gramm,kaufland,1.12
1102,Dreistern Hirschroulade,4.49,100 Gramm,Dose 400 Gramm,kaufland,1.12
1103,Treets Erdnussbutter Creamy,2.99,100 Gramm,Glas 340 Gramm,kaufland,0.88
1104,Bounty Brotaufstrich with Coconut Flakes,2.99,100 Gramm,Glas 200 Gramm,kaufland,1.5
1105,Schwartau Holsteiner Rote Grütze,1.99,100 Gramm,Glas 500 Gramm,kaufland,0.398
