,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
2014,"Wodka Gorbatschow 37,5% Vol.",4.79,100 Gramm,Beutel 1000 Gramm,aldi-sued,0.479
2015,Gerolsteiner Sprudel Medium,0.79,100 ml,"Pet-Flasche 1,5 L 	",aldi-sued,0.053000000000000005
2016,Silverstone Aldi Süd Echter Übersee Rum 54% Vol.,6.99,100 ml,Flasche Glas 0.7 L,aldi-sued,0.999
2017,Old Keeper Aldi Süd Scotch Whisky 40% Vol. Special Reserve,6.99,100 ml,Flasche Glas 0.7 L,aldi-sued,0.999
2018,Basilikum im Topf,0.79,Preis pro Stück, 1 Stück,aldi-sued,0.79
2019,Schnittlauch im Topf,0.79,Preis pro Stück, 1 Stück,aldi-sued,0.79
2020,Aldi Süd bio Knusperbrot mit Roggen,0.49,100 ml,Packung 200 ML,aldi-sued,0.25
2021,bella Milkinello Waffeln 10 x 65 g,0.59,Preis pro Stück,Packung 10 Stück,aldi-sued,0.06
2022,Storck Merci Petits Chocolate Collection,1.69,100 Gramm,Beutel 200 Gramm,aldi-sued,0.85
2023,Ferrero Giotto Haselnuss Gebäckspezialität,1.85,100 Gramm,"Packung 154.8 Gramm, 4 x 38,7, 36 Stück",aldi-sued,1.2
2024,Kokett Toilettenpapier 3 - lagig,2.65,Preis pro 1000 Blatt,Packung 2000 Blatt,aldi-sued,1.33
2025,Sankt Pirmin Multinorm Gelenk-Kapseln,3.99,Preis pro 100 Stück,Packung 60 Stück,aldi-sued,6.65
2026,Klümper Landschinken luftgetrockneter,2.09,100 Gramm,Packung 200 Gramm,aldi-sued,1.05
2027,Frost & Frisch Pazifik Shrimps,2.79,100 Gramm,Packung 250 Gramm,aldi-sued,1.116
2028,Südzucker Arometti Vanille Geschmack,1.69,100 Gramm,Packung 100 Gramm,aldi-sued,1.69
2029,Südzucker Arometti Amaretto Geschmack,1.69,100 Gramm,Packung 100 Gramm,aldi-sued,1.69
2030,"Golden Seafood / Aldi Nord Scampi Spieße Riesengarnelen, 5 Spieße",3.99,100 Gramm,Packung 440 Gramm,aldi-sued,0.907
2031,VibaSept Hygiene Tuch,1.99,Preis pro 100 Stück,Packung 20 Stück,aldi-sued,9.95
2032,"Heidemark 1/2 Putenbrustfilet vorgegart, ofenfertig",7.48,100 Gramm,Packung 1248 Gramm,aldi-sued,0.599
2033,Nietfeld Aldi Süd Chickn Nuggets Snack & More,3.99,100 Gramm,Packung 150 Gramm,aldi-sued,2.66
2034,Allfein Chicken Nuggets,2.19,100 Gramm,Packung 500 Gramm,aldi-sued,0.438
2035,Pfanner Der Gelbe Tee,0.99,100 ml,Getränkekarton 2 L,aldi-sued,0.05
2036,"Aperol italienischer Aperitiv Bitter Spirituose, 15 % Vol.",8.79,100 ml,Flasche Glas 0.7 L,aldi-sued,1.256
2037,Yeni Raki,10.49,100 ml,Flasche Glas 700 ML,aldi-sued,1.499
2038,kaba Der Plantagentrank,1.35,100 Gramm,Nachfüllbeutel 500 Gramm,aldi-sued,0.27
2039,Glocken-Beune Aldi Süd Delikatess Bauchspeck am Stück,3.99,100 Gramm,Packung 1000 Gramm,aldi-sued,0.4
2040,Silverstone Aldi Süd Echter Übersee Rum 40% Vol.,5.49,100 ml,Flasche Glas 0.7 L,aldi-sued,0.784
2041,Paprika Mix frisch,0.99,100 Gramm,"Folie 500 Gramm, Spanien Kl. 1",aldi-sued,0.198
2042,Glocken-Beune Bacon,0.99,100 Gramm,Packung 100 Gramm,aldi-sued,0.99
2043,Bio Bananen,1.19,100 Gramm,Folie 1 KG,aldi-sued,0.119
2044,Birnen frisch,1.7,100 Gramm,Folie 1 KG,aldi-sued,0.16999999999999998
2045,Bio Zitronen,0.49,100 Gramm,Netz 500 Gramm,aldi-sued,0.098
2046,Grand Marnier / Aldi Süd Orangenlikör,9.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.427
2047,Erdbeeren frisch,1.11,100 Gramm,Schale 500 Gramm,aldi-sued,0.22200000000000003
2048,Pfirsich,0.85,100 Gramm,Packung 1 KG,aldi-sued,0.08499999999999999
2049,Frankenberg / Aldi Süd Rösti Schiffchen Rührei und Schinken,1.79,100 Gramm,Packung 200 Gramm,aldi-sued,0.8949999999999999
2050,Frankenberg / Aldi Süd Rösti Schiffchen Tzatziki mit feinen Kräutern,1.79,100 Gramm,Packung 200 Gramm,aldi-sued,0.8949999999999999
2051,Emsland Hähnchen ganz,3.29,100 Gramm,Packung 1400 Gramm,aldi-sued,0.23500000000000001
2052,Honigmelone gelb,0.89,Preis pro Stück, 1 Stück,aldi-sued,0.89
2053,Chicoree frisch,0.69,100 Gramm, 500 Gramm,aldi-sued,0.13799999999999998
2054,Zitronen frisch,0.29,100 Gramm, 1 Stück,aldi-sued,0.0
2055,Rucola frisch,0.69,100 Gramm,Schale 150 Gramm,aldi-sued,0.46
2056,Wellinghouse London Dry Gin,9.99,100 ml,Flasche Glas 0.7 L,aldi-sued,1.427
2057,Top Lax / Aldi Süd Skandinavischer Räucherlachs,2.69,100 Gramm,Packung 200 Gramm,aldi-sued,1.35
2058,Südzucker Puder Zucker hauchzart locker streufein,0.39,100 Gramm,Streuer 250 Gramm,aldi-sued,0.16
2059,Citrovin bio Zitrone für Fischgerichte und Marinaden,0.49,100 ml,Packung 200 ML,aldi-sued,0.25
2060,Ferrero Kinder Überraschungs Ei 3-er 3 x 20 g,1.47,100 Gramm,Packung 60 Gramm,aldi-sued,2.45
2061,Nietfeld Aldi Süd Turkey Stripes Snack & More,1.99,100 Gramm,Packung 180 Gramm,aldi-sued,1.11
2062,Zwetschgen frisch,0.75,100 Gramm, 1 KG,aldi-sued,0.075
2063,Bunte Blattsalate Deutschland Kl. 1,0.29,Preis pro Stück,Folie 1 Stück,aldi-sued,0.29
2064,Czerwi Aldi Süd Wodka Blutorange,3.29,100 ml,Flasche Glas 0.7 L,aldi-sued,0.47000000000000003
2065,Esskastanien,0.99,100 Gramm,Netz 500 Gramm,aldi-sued,0.198
2066,Emsland Hähnchen Ofenschale,2.79,100 Gramm,Packung 500 Gramm,aldi-sued,0.558
2067,Dattel Cherrytomaten,0.66,100 Gramm,Schale 250 Gramm,aldi-sued,0.26
2068,Rhabarber frisch,1.45,100 Gramm, 1 KG,aldi-sued,0.145
2069,Blattsalat Duo Salanova Klasse 1,1.18,Preis pro Stück,Folie 2 Stück,aldi-sued,0.59
2070,Eisbergsalat,0.35,Preis pro Stück, 1 Stück,aldi-sued,0.35
2071,Kokosnuss frisch,0.59,Preis pro Stück, 1 Stück,aldi-sued,0.59
2072,Heidelbeeren frisch,0.83,100 Gramm,Packung 125 Gramm,aldi-sued,0.66
2073,Pritex Pheromonfalle gegen Kleidermotten,2.99,Preis pro Stück,Packung 2 Stück,aldi-sued,1.5
2074,Physalis,0.59,100 Gramm,Schale 100 Gramm,aldi-sued,0.59
2075,"Kuchenmeister Get It Kuchensnack Marmor Marmor Kuchenscheiben, 4 x 35 g",0.99,100 Gramm,Packung 140 Gramm,aldi-sued,0.7070000000000001
2076,Bio Karotten,0.99,100 Gramm, 1 KG,aldi-sued,0.099
2077,Galia Melonen Kl. 1,0.89,Preis pro Stück, 1 Stück,aldi-sued,0.89
2078,Weißkohl frisch,0.39,Preis pro Stück, 1 Stück,aldi-sued,0.39
2079,Ponnath Wollwurst,1.99,100 Gramm,Packung 400 Gramm,aldi-sued,0.49800000000000005
2080,Czerwi Party Flirt Box Pflaumenlikör 12 x 20 ml,2.99,100 ml,Packung 240 ML,aldi-sued,1.246
2081,Czerwi Party Flirt Box Feigelikör 12 x 20 ml,2.99,100 ml,Packung 240 ML,aldi-sued,1.246
2082,Czerwi Party Flirt Box Sahnelikör 12 x 20 ml,2.99,100 ml,Packung 240 ML,aldi-sued,1.246
2083,Petersilie kraus,0.89,100 Gramm,Packung 100 Gramm,aldi-sued,0.89
2084,Salatherzen frisch Mini Romana,1.59,100 Gramm,Packung 185 Gramm,aldi-sued,0.86
2085,Bastei Aldi Süd Orange Kiss,2.79,100 Gramm,Folie 1200 Gramm,aldi-sued,0.233
2086,Emsland Hähnchen Pfannen Steaks,5.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.799
2087,Funny Frisch Chipsfrisch Sour Cream & Wild Onion,0.99,100 Gramm,Beutel 175  Gramm,aldi-sued,0.57
2088,Pril Spülmittel Kraftgel,1.35,100 ml,Flasche 500ml,aldi-sued,0.27
2089,Pril Spülmittel Sensitive,1.35,100 ml,Flasche 500 ML,aldi-sued,0.27
2090,Aldi Süd Bio Lassi Mango,0.79,100 Gramm,Becher 250 Gramm,aldi-sued,0.32
2091,Ibis Bio SMORBROD Mehrkorn - 6 Stück,1.39,100 Gramm,Packung 180 Gramm,aldi-sued,0.772
2092,"Alpenmark Weichkäse mit Blau- und Weißschimmel, am Stück",1.49,100 Gramm,Packung 200 Gramm,aldi-sued,0.75
2093,Choco Bistro Quark Schnitten Kirsche,1.39,100 Gramm,Packung 125 Gramm,aldi-sued,1.11
